ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title,Direction
214434_at,6.25e-25,2.04e-27,-1.42e+01,51.8069464,-3.44,HSPA12A,heat shock protein family A (Hsp70) member 12A,Downregulated
200606_at,1.12e-24,3.84e-27,1.41e+01,51.1794857,4.98,DSP,desmoplakin,Upregulated
205083_at,1.17e-24,4.07e-27,-1.41e+01,51.1206314,-3.48,AOX1,aldehyde oxidase 1,Downregulated
210715_s_at,1.23e-24,4.29e-27,1.40e+01,51.0696977,4.20,SPINT2,"serine peptidase inhibitor, Kunitz type 2",Upregulated
228568_at,1.29e-24,4.54e-27,-1.40e+01,51.0130983,-4.11,MYZAP,myocardial zonula adherens protein,Downregulated
232204_at,1.36e-24,4.84e-27,-1.40e+01,50.9500537,-3.95,EBF1,early B-cell factor 1,Downregulated
205384_at,1.63e-24,5.93e-27,-1.40e+01,50.7497355,-3.71,FXYD1,FXYD domain containing ion transport regulator 1,Downregulated
219054_at,3.53e-24,1.34e-26,-1.38e+01,49.9458614,-4.23,NPR3,natriuretic peptide receptor 3,Downregulated
206243_at,4.23e-24,1.61e-26,-1.38e+01,49.7612539,-6.32,TIMP4,TIMP metallopeptidase inhibitor 4,Downregulated
244885_at,5.13e-24,2.00e-26,-1.38e+01,49.5469198,-3.16,EBF2,early B-cell factor 2,Downregulated
227561_at,5.64e-24,2.21e-26,-1.37e+01,49.4501205,-3.63,DDR2,discoidin domain receptor tyrosine kinase 2,Downregulated
227419_x_at,7.37e-24,2.92e-26,-1.37e+01,49.1714383,-4.48,PLAC9,placenta specific 9,Downregulated
1552509_a_at,8.40e-24,3.35e-26,-1.37e+01,49.0366695,-4.56,CD300LG,CD300 molecule like family member g,Downregulated
243813_at,8.91e-24,3.59e-26,-1.36e+01,48.9694421,-3.04,LINC00968,long intergenic non-protein coding RNA 968,Downregulated
217546_at,9.05e-24,3.66e-26,-1.36e+01,48.9499606,-3.16,MT1M,metallothionein 1M,Downregulated
204018_x_at,1.19e-23,4.87e-26,-1.36e+01,48.6676798,-4.99,HBA2///HBA1,hemoglobin subunit alpha 2///hemoglobin subunit alpha 1,Downregulated
212701_at,1.40e-23,5.81e-26,-1.36e+01,48.4913628,-3.55,TLN2,talin 2,Downregulated
225846_at,1.47e-23,6.17e-26,1.35e+01,48.4329103,4.89,ESRP1,epithelial splicing regulatory protein 1,Upregulated
203414_at,1.55e-23,6.57e-26,-1.35e+01,48.3710872,-4.17,MMD,monocyte to macrophage differentiation associated,Downregulated
237390_at,1.62e-23,6.89e-26,-1.35e+01,48.3239286,-3.37,ADRA1A,adrenoceptor alpha 1A,Downregulated
205204_at,1.68e-23,7.15e-26,-1.35e+01,48.2867759,-3.61,NMB,neuromedin B,Downregulated
1560698_a_at,2.47e-23,1.09e-25,-1.34e+01,47.8711302,-3.05,TRHDE-AS1,TRHDE antisense RNA 1,Downregulated
223620_at,3.22e-23,1.46e-25,-1.34e+01,47.5838546,-4.13,GPR34,G protein-coupled receptor 34,Downregulated
235978_at,4.02e-23,1.84e-25,-1.33e+01,47.3527728,-7.64,FABP4,fatty acid binding protein 4,Downregulated
32625_at,4.35e-23,2.01e-25,-1.33e+01,47.2653404,-3.49,NPR1,natriuretic peptide receptor 1,Downregulated
214889_at,6.20e-23,2.93e-25,-1.33e+01,46.8930314,-3.19,FAM149A,family with sequence similarity 149 member A,Downregulated
235316_at,8.02e-23,3.83e-25,-1.32e+01,46.6268965,-3.47,NAT8L,N-acetyltransferase 8 like,Downregulated
226129_at,9.21e-23,4.44e-25,1.32e+01,46.4791192,3.95,FAM83H,family with sequence similarity 83 member H,Upregulated
203296_s_at,1.18e-22,5.73e-25,-1.31e+01,46.2278971,-4.64,ATP1A2,ATPase Na+/K+ transporting subunit alpha 2,Downregulated
213668_s_at,1.49e-22,7.27e-25,1.31e+01,45.9920653,3.47,SOX4,SRY-box 4,Upregulated
204154_at,1.57e-22,7.70e-25,-1.31e+01,45.9348134,-5.82,CDO1,cysteine dioxygenase type 1,Downregulated
219140_s_at,1.59e-22,7.84e-25,-1.31e+01,45.9182209,-7.08,RBP4,retinol binding protein 4,Downregulated
223828_s_at,4.10e-22,2.12e-24,-1.29e+01,44.9347269,-4.79,LGALS12,galectin 12,Downregulated
229086_at,4.57e-22,2.36e-24,-1.29e+01,44.8252295,-3.47,ZNF436-AS1,ZNF436 antisense RNA 1,Downregulated
225926_at,5.17e-22,2.70e-24,-1.28e+01,44.6953492,-3.12,VTI1B,vesicle transport through interaction with t-SNAREs 1B,Downregulated
228770_at,5.42e-22,2.85e-24,-1.28e+01,44.642214,-3.72,GPR146,G protein-coupled receptor 146,Downregulated
229404_at,5.83e-22,3.07e-24,-1.28e+01,44.5669088,-3.69,TWIST2,twist family bHLH transcription factor 2,Downregulated
1554485_s_at,5.88e-22,3.12e-24,-1.28e+01,44.5505796,-4.64,TMEM37,transmembrane protein 37,Downregulated
